tab 	pmag_results
average_age	average_age_unit	average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
446	Ma	6.4	180.0	-56.1	111	47.1007	95.3775	6	6	0	5.9549	i		This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z35	MAG	Site VGP, coord system = 100 component: MID	0	7.8	8.4	-79.6	95.4	6
446	Ma	5.7	185.4	-5.6	137	47.1007	95.3775	6	6	0	5.9635	i		This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z35	HEM	Site VGP, coord system = 100 component: MID	0	3.9	7.4	-45.5	87.7	6
446	Ma	5.1	52.9	22.7	176	47.1007	95.3775	6	6	0	5.9716	i		This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z35	LOW	Site VGP, coord system = 100 component: MID	100	3.8	6.7	33.5	206.0	6
446	Ma	6.4	226.2	-25.3	111	47.1007	95.3775	6	6	0	5.9548	i		This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z35	MAG	Site VGP, coord system = 100 component: MID	100	4.8	8.4	-38.8	31.0	6
446	Ma	5.7	185.1	6.0	138	47.1007	95.3775	6	6	0	5.9637	i		This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z35	HEM	Site VGP, coord system = 100 component: MID	100	3.9	7.4	-39.7	88.8	6
446	Ma	3.7	356.0	62.7	225	47.1022	95.3796	8	8	0	7.9689	i		This study	Khukh_Davaa	Z36	Z36.1a:Z36.2a:Z36.3a:Z36.4a:Z36.5a:Z36.6a:Z36.7a:Z36.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z36	LOW	Site VGP, coord system = 100 component: MID	0	5.5	4.8	85.9	319.7	8
446	Ma	4.2	184.6	-73.5	178	47.1022	95.3796	8	8	0	7.9607	i		This study	Khukh_Davaa	Z36	Z36.1a:Z36.2a:Z36.3a:Z36.4a:Z36.5a:Z36.6a:Z36.7a:Z36.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z36	MAG	Site VGP, coord system = 100 component: MID	0	10.1	5.5	-77.4	286.2	8
446	Ma	3.7	53.1	38.6	225	47.1022	95.3796	8	8	0	7.9688	i		This study	Khukh_Davaa	Z36	Z36.1a:Z36.2a:Z36.3a:Z36.4a:Z36.5a:Z36.6a:Z36.7a:Z36.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z36	LOW	Site VGP, coord system = 100 component: MID	100	3.2	4.8	40.6	197.3	8
446	Ma	4.2	247.5	-39.3	177	47.1022	95.3796	8	8	0	7.9605	i		This study	Khukh_Davaa	Z36	Z36.1a:Z36.2a:Z36.3a:Z36.4a:Z36.5a:Z36.6a:Z36.7a:Z36.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z36	MAG	Site VGP, coord system = 100 component: MID	100	3.7	5.5	-31.2	5.5	8
446	Ma	3.0	1.2	62.5	303	47.1021	95.3797	9	9	0	8.9736	i		This study	Khukh_Davaa	Z37	Z37.1a:Z37.2a:Z37.3a:Z37.4a:Z37.5a:Z37.6a:Z37.7a:Z37.8a:Z37.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z37	LOW	Site VGP, coord system = 100 component: MID	0	4.4	3.9	86.6	260.5	9
446	Ma	7.2	174.8	-74.6	52	47.1021	95.3797	9	9	0	8.8455	i		This study	Khukh_Davaa	Z37	Z37.1a:Z37.2a:Z37.3a:Z37.4a:Z37.5a:Z37.6a:Z37.7a:Z37.8a:Z37.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z37	MAG	Site VGP, coord system = 100 component: MID	0	18.5	9.4	-75.6	265.2	9
446	Ma	3.0	54.1	36.3	302	47.1021	95.3797	9	9	0	8.9735	i		This study	Khukh_Davaa	Z37	Z37.1a:Z37.2a:Z37.3a:Z37.4a:Z37.5a:Z37.6a:Z37.7a:Z37.8a:Z37.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z37	LOW	Site VGP, coord system = 100 component: MID	100	2.5	3.9	38.8	197.9	9
446	Ma	7.2	248.1	-42.2	52	47.1021	95.3797	9	9	0	8.8454	i		This study	Khukh_Davaa	Z37	Z37.1a:Z37.2a:Z37.3a:Z37.4a:Z37.5a:Z37.6a:Z37.7a:Z37.8a:Z37.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z37	MAG	Site VGP, coord system = 100 component: MID	100	6.6	9.4	-32.3	3.2	9
446	Ma	5.0	2.8	64.3	95	47.0986	95.3845	10	10	0	9.9049	i		This study	Khukh_Davaa	Z38	Z38.10a:Z38.1a:Z38.2a:Z38.3a:Z38.4a:Z38.5a:Z38.6a:Z38.7a:Z38.8a:Z38.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z38	LOW	Site VGP, coord system = 100 component: MID	0	7.8	6.5	87.8	211.9	10
446	Ma	8.0	170.1	-68.5	37	47.0986	95.3845	10	10	0	9.7572	i		This study	Khukh_Davaa	Z38	Z38.10a:Z38.1a:Z38.2a:Z38.3a:Z38.4a:Z38.5a:Z38.6a:Z38.7a:Z38.8a:Z38.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z38	MAG	Site VGP, coord system = 100 component: MID	0	14.9	10.4	-82.1	225.0	10
446	Ma	8.8	195.6	-26.4	801	47.0986	95.3845	2	2	0	1.9988	i		This study	Khukh_Davaa	Z38	Z38.3a:Z38.4a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.0	ACCEPT	VGP Site: Z38	HEM	Site VGP, coord system = 100 component: MID	0	6.7	11.5	-54.4	68.8	2
446	Ma	5.0	54.5	36.5	95	47.0986	95.3845	10	10	0	9.9054	i		This study	Khukh_Davaa	Z38	Z38.10a:Z38.1a:Z38.2a:Z38.3a:Z38.4a:Z38.5a:Z38.6a:Z38.7a:Z38.8a:Z38.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z38	LOW	Site VGP, coord system = 100 component: MID	100	4.2	6.5	38.7	197.4	10
446	Ma	8.0	237.4	-42.7	37	47.0986	95.3845	10	10	0	9.7579	i		This study	Khukh_Davaa	Z38	Z38.10a:Z38.1a:Z38.2a:Z38.3a:Z38.4a:Z38.5a:Z38.6a:Z38.7a:Z38.8a:Z38.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z38	MAG	Site VGP, coord system = 100 component: MID	100	7.4	10.4	-39.8	10.8	10
446	Ma	8.9	208.4	-5.9	788	47.0986	95.3845	2	2	0	1.9987	i		This study	Khukh_Davaa	Z38	Z38.3a:Z38.4a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4	pmagpy-3.4.0	ACCEPT	VGP Site: Z38	HEM	Site VGP, coord system = 100 component: MID	100	6.1	11.6	-39.5	57.4	2
446	Ma	12.0	359.6	58.7	32	47.0986	95.3847	6	6	0	5.8444	i		This study	Khukh_Davaa	Z39	Z39.1a:Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z39	LOW	Site VGP, coord system = 100 component: MID	0	15.7	15.7	82.3	277.7	6
446	Ma	6.4	196.1	-56.0	112	47.0986	95.3847	6	6	0	5.9553	i		This study	Khukh_Davaa	Z39	Z39.1a:Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z39	MAG	Site VGP, coord system = 100 component: MID	0	7.8	8.4	-74.1	41.1	6
446	Ma	8.7	196.3	-15.6	79	47.0986	95.3847	5	5	0	4.9493	i		This study	Khukh_Davaa	Z39	Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z39	HEM	Site VGP, coord system = 100 component: MID	0	6.1	11.4	-48.5	70.6	5
446	Ma	12.0	47.6	35.2	32	47.0986	95.3847	6	6	0	5.8445	i		This study	Khukh_Davaa	Z39	Z39.1a:Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z39	LOW	Site VGP, coord system = 100 component: MID	100	10.0	15.7	42.6	204.4	6
446	Ma	6.4	230.9	-26.4	112	47.0986	95.3847	6	6	0	5.9553	i		This study	Khukh_Davaa	Z39	Z39.1a:Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z39	MAG	Site VGP, coord system = 100 component: MID	100	4.9	8.4	-36.4	26.1	6
446	Ma	8.7	201.5	2.4	79	47.0986	95.3847	5	5	0	4.9494	i		This study	Khukh_Davaa	Z39	Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z39	HEM	Site VGP, coord system = 100 component: MID	100	5.9	11.4	-38.2	67.6	5
446	Ma	5.2	357.9	60.5	99	47.0986	95.3847	9	9	0	8.9188	i		This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.5a:Z40.6a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z40	LOW	Site VGP, coord system = 100 component: MID	0	7.2	6.8	84.2	291.1	9
446	Ma	4.5	170.9	-71.6	130	47.0986	95.3847	9	9	0	8.9386	i		This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.5a:Z40.6a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z40	MAG	Site VGP, coord system = 100 component: MID	0	9.7	5.9	-79.2	247.6	9
446	Ma	7.8	189.2	-23.5	61	47.0986	95.3847	7	7	0	6.9015	i		This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z40	HEM	Site VGP, coord system = 100 component: MID	0	5.8	10.2	-54.3	79.8	7
446	Ma	5.2	49.1	36.8	99	47.0986	95.3847	9	9	0	8.9188	i		This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.5a:Z40.6a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z40	LOW	Site VGP, coord system = 100 component: MID	100	4.4	6.8	42.4	202.0	9
446	Ma	4.5	241.6	-43.1	131	47.0986	95.3847	9	9	0	8.9387	i		This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.5a:Z40.6a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z40	MAG	Site VGP, coord system = 100 component: MID	100	4.2	5.9	-37.1	7.3	9
446	Ma	7.8	202.2	-7.9	61	47.0986	95.3847	7	7	0	6.9017	i		This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z40	HEM	Site VGP, coord system = 100 component: MID	100	5.4	10.2	-42.8	64.5	7
446	Ma	8.3	356.8	72.5	45	47.1011	95.3774	8	8	0	7.8456	i		This study	Khukh_Davaa	Z41	Z41.1a:Z41.2a:Z41.3a:Z41.4a:Z41.5a:Z41.6a:Z41.7a:Z41.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z41	LOW	Site VGP, coord system = 100 component: MID	0	18.8	10.8	79.2	86.3	8
446	Ma	4.6	175.5	-59.9	147	47.1011	95.3774	8	8	0	7.9525	i		This study	Khukh_Davaa	Z41	Z41.1a:Z41.2a:Z41.3a:Z41.4a:Z41.5a:Z41.6a:Z41.7a:Z41.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z41	MAG	Site VGP, coord system = 100 component: MID	0	6.2	6.0	-82.9	124.1	8
446	Ma	16.1	178.8	-26.2	24	47.1011	95.3774	5	5	0	4.8303	i		This study	Khukh_Davaa	Z41	Z41.1a:Z41.2a:Z41.3a:Z41.4a:Z41.5a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z41	HEM	Site VGP, coord system = 100 component: MID	0	12.2	21.0	-56.7	97.5	5
446	Ma	8.3	63.2	32.4	45	47.1011	95.3774	8	8	0	7.8458	i		This study	Khukh_Davaa	Z41	Z41.1a:Z41.2a:Z41.3a:Z41.4a:Z41.5a:Z41.6a:Z41.7a:Z41.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z41	LOW	Site VGP, coord system = 100 component: MID	100	6.7	10.8	30.9	192.7	8
446	Ma	4.6	229.1	-29.1	147	47.1011	95.3774	8	8	0	7.9522	i		This study	Khukh_Davaa	Z41	Z41.1a:Z41.2a:Z41.3a:Z41.4a:Z41.5a:Z41.6a:Z41.7a:Z41.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	VGP Site: Z41	MAG	Site VGP, coord system = 100 component: MID	100	3.6	6.0	-38.7	26.4	8
