tab	er_samples
er_sample_name	er_site_name	er_location_name	er_citation_names	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_dip	sample_height	sample_lat	sample_lithology	sample_lon	sample_type
Z51.4	Z51	Khukh_Davaa	This study	SO-CMD-NORTH	108.5	28	91.0	Extrusive	-56	734.2	47.09584	Basalt	95.38802	Lava Flow
Z51.5	Z51	Khukh_Davaa	This study	SO-CMD-NORTH	110.5	28	91.0	Extrusive	-59	734.5	47.09584	Basalt	95.38802	Lava Flow
Z51.6	Z51	Khukh_Davaa	This study	SO-CMD-NORTH	100.5	28	91.0	Extrusive	-53	734.1	47.09584	Basalt	95.38802	Lava Flow
Z51.8	Z51	Khukh_Davaa	This study	SO-CMD-NORTH	58.5	28	91.0	Extrusive	-78	734.6	47.09584	Basalt	95.38802	Lava Flow
Z52.1	Z52	Khukh_Davaa	This study	SO-CMD-NORTH	114.5	28	91.0	Extrusive	-56	739.9	47.09583	Basalt	95.38815	Lava Flow
Z52.2	Z52	Khukh_Davaa	This study	SO-CMD-NORTH	89.5	28	91.0	Extrusive	-12	738.9	47.09583	Basalt	95.38815	Lava Flow
Z52.5	Z52	Khukh_Davaa	This study	SO-CMD-NORTH	78.5	28	91.0	Extrusive	-49	738.6	47.09583	Basalt	95.38815	Lava Flow
Z52.6	Z52	Khukh_Davaa	This study	SO-CMD-NORTH	123.5	28	91.0	Extrusive	-55	739.4	47.09583	Basalt	95.38815	Lava Flow
Z52.7	Z52	Khukh_Davaa	This study	SO-CMD-NORTH	125.5	28	91.0	Extrusive	-42	739.8	47.09583	Basalt	95.38815	Lava Flow
Z52.8	Z52	Khukh_Davaa	This study	SO-CMD-NORTH	129.5	28	91.0	Extrusive	-50	740.7	47.09583	Basalt	95.38815	Lava Flow
Z53.1	Z53	Khukh_Davaa	This study	SO-CMD-NORTH	310.5	58	88.0	Extrusive	-25	595.3	47.09442	Basalt	95.37205	Lava Flow
Z53.2	Z53	Khukh_Davaa	This study	SO-CMD-NORTH	292.5	58	88.0	Extrusive	-25	595.6	47.09442	Basalt	95.37205	Lava Flow
Z53.3	Z53	Khukh_Davaa	This study	SO-CMD-NORTH	302.5	58	88.0	Extrusive	-24	595.8	47.09442	Basalt	95.37205	Lava Flow
Z53.4	Z53	Khukh_Davaa	This study	SO-CMD-NORTH	296.5	58	88.0	Extrusive	-51	596.7	47.09442	Basalt	95.37205	Lava Flow
Z53.5	Z53	Khukh_Davaa	This study	SO-CMD-NORTH	285.5	58	88.0	Extrusive	-32	597.4	47.09442	Basalt	95.37205	Lava Flow
Z53.6	Z53	Khukh_Davaa	This study	SO-CMD-NORTH	277.5	58	88.0	Extrusive	-23	595.8	47.09442	Basalt	95.37205	Lava Flow
Z53.7	Z53	Khukh_Davaa	This study	SO-CMD-NORTH	58.5	58	88.0	Extrusive	-15	596.4	47.09442	Basalt	95.37205	Lava Flow
Z53.8	Z53	Khukh_Davaa	This study	SO-CMD-NORTH	212.5	58	88.0	Extrusive	-18	597.2	47.09442	Basalt	95.37205	Lava Flow
Z54.1	Z54	Khukh_Davaa	This study	SO-CMD-NORTH	301.5	58	88.0	Extrusive	-23	672.6	47.09502	Basalt	95.37299	Lava Flow
Z54.2	Z54	Khukh_Davaa	This study	SO-CMD-NORTH	30.5	58	88.0	Extrusive	-13	673.6	47.09502	Basalt	95.37299	Lava Flow
Z54.3	Z54	Khukh_Davaa	This study	SO-CMD-NORTH	263.5	58	88.0	Extrusive	-36	674.7	47.09502	Basalt	95.37299	Lava Flow
Z54.4	Z54	Khukh_Davaa	This study	SO-CMD-NORTH	258.5	58	88.0	Extrusive	-77	675.2	47.09502	Basalt	95.37299	Lava Flow
Z54.5	Z54	Khukh_Davaa	This study	SO-CMD-NORTH	271.5	58	88.0	Extrusive	-16	673.7	47.09502	Basalt	95.37299	Lava Flow
Z54.6	Z54	Khukh_Davaa	This study	SO-CMD-NORTH	265.5	58	88.0	Extrusive	-12	674.9	47.09502	Basalt	95.37299	Lava Flow
Z54.7	Z54	Khukh_Davaa	This study	SO-CMD-NORTH	267.5	58	88.0	Extrusive	-14	675.1	47.09502	Basalt	95.37299	Lava Flow
Z54.8	Z54	Khukh_Davaa	This study	SO-CMD-NORTH	268.5	58	88.0	Extrusive	-61	674.1	47.09502	Basalt	95.37299	Lava Flow
Z55.1	Z55	Khukh_Davaa	This study	SO-CMD-NORTH	323.5	58	88.0	Extrusive	-30	709	47.09525	Basalt	95.37351	Lava Flow
Z55.2	Z55	Khukh_Davaa	This study	SO-CMD-NORTH	340.5	58	88.0	Extrusive	-53	709.5	47.09525	Basalt	95.37351	Lava Flow
Z55.3	Z55	Khukh_Davaa	This study	SO-CMD-NORTH	341.5	58	88.0	Extrusive	-65	709.9	47.09525	Basalt	95.37351	Lava Flow
Z55.4	Z55	Khukh_Davaa	This study	SO-CMD-NORTH	279.5	58	88.0	Extrusive	-33	710.9	47.09525	Basalt	95.37351	Lava Flow
Z55.5	Z55	Khukh_Davaa	This study	SO-CMD-NORTH	276.5	58	88.0	Extrusive	-18	711	47.09525	Basalt	95.37351	Lava Flow
Z55.6	Z55	Khukh_Davaa	This study	SO-CMD-NORTH	277.5	58	88.0	Extrusive	-19	710.8	47.09525	Basalt	95.37351	Lava Flow
Z55.7	Z55	Khukh_Davaa	This study	SO-CMD-NORTH	260.5	58	88.0	Extrusive	-20	712.6	47.09525	Basalt	95.37351	Lava Flow
Z55.8	Z55	Khukh_Davaa	This study	SO-CMD-NORTH	254.5	58	88.0	Extrusive	-26	712.8	47.09525	Basalt	95.37351	Lava Flow
Z56.1	Z56	Khukh_Davaa	This study	SO-CMD-NORTH	33.5	24	165.0	Extrusive	-56	18.8	47.06403	Basalt	95.42075	Lava Flow
Z56.2	Z56	Khukh_Davaa	This study	SO-CMD-NORTH	75.5	24	165.0	Extrusive	-60	18.8	47.06403	Basalt	95.42075	Lava Flow
Z56.3	Z56	Khukh_Davaa	This study	SO-CMD-NORTH	171.5	24	165.0	Extrusive	-71	18.8	47.06403	Basalt	95.42075	Lava Flow
Z56.4	Z56	Khukh_Davaa	This study	SO-CMD-NORTH	183.5	24	165.0	Extrusive	-69	18.8	47.06403	Basalt	95.42075	Lava Flow
Z56.5	Z56	Khukh_Davaa	This study	SO-CMD-NORTH	165.5	24	165.0	Extrusive	-74	18.8	47.06403	Basalt	95.42075	Lava Flow
Z56.6	Z56	Khukh_Davaa	This study	SO-CMD-NORTH	156.5	24	165.0	Extrusive	-53	18.8	47.06403	Basalt	95.42075	Lava Flow
Z57.1	Z57	Khukh_Davaa	This study	SO-CMD-NORTH	154.5	24	165.0	Extrusive	-77	68.6	47.06277	Basalt	95.42039	Lava Flow
Z57.2	Z57	Khukh_Davaa	This study	SO-CMD-NORTH	200.5	24	165.0	Extrusive	-58	68.6	47.06277	Basalt	95.42039	Lava Flow
Z57.3	Z57	Khukh_Davaa	This study	SO-CMD-NORTH	90.5	24	165.0	Extrusive	-96	68.6	47.06277	Basalt	95.42039	Lava Flow
Z57.4	Z57	Khukh_Davaa	This study	SO-CMD-NORTH	86.5	24	165.0	Extrusive	-45	68.6	47.06277	Basalt	95.42039	Lava Flow
Z57.5	Z57	Khukh_Davaa	This study	SO-CMD-NORTH	119.5	24	165.0	Extrusive	-77	68.6	47.06277	Basalt	95.42039	Lava Flow
Z57.6	Z57	Khukh_Davaa	This study	SO-CMD-NORTH	55.5	24	165.0	Extrusive	-75	68.6	47.06277	Basalt	95.42039	Lava Flow
Z58.1	Z58	Khukh_Davaa	This study	SO-CMD-NORTH	27.5	24	165.0	Extrusive	-17	72.4	47.06277	Basalt	95.42045	Lava Flow
Z58.2	Z58	Khukh_Davaa	This study	SO-CMD-NORTH	104.5	24	165.0	Extrusive	-51	72.4	47.06277	Basalt	95.42045	Lava Flow
Z58.3	Z58	Khukh_Davaa	This study	SO-CMD-NORTH	80.5	24	165.0	Extrusive	-38	72.4	47.06277	Basalt	95.42045	Lava Flow
Z58.4	Z58	Khukh_Davaa	This study	SO-CMD-NORTH	92.5	24	165.0	Extrusive	-41	72.4	47.06277	Basalt	95.42045	Lava Flow
Z58.5	Z58	Khukh_Davaa	This study	SO-CMD-NORTH	66.5	24	165.0	Extrusive	-20	72.4	47.06277	Basalt	95.42045	Lava Flow
Z58.6	Z58	Khukh_Davaa	This study	SO-CMD-NORTH	121.5	24	165.0	Extrusive	-76	72.4	47.06277	Basalt	95.42045	Lava Flow
