tab 	pmag_sites																					
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.3a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	11	LOW	54.6	Site direction included in results table	18	9.98E+02	9.98E+02	Years Cal BP	31	7	7	0		6.8063	100
	This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	6.4	MAG	226.2	Site direction included in results table	-25.3	9.98E+02	9.98E+02	Years Cal BP	111	6	6	0		5.9548	100
	This study	Khukh_Davaa	Z35	Z35.1a:Z35.2a:Z35.4a:Z35.5a:Z35.6a:Z35.7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	5.7	HEM	185.1	Site direction included in results table	6	9.98E+02	9.98E+02	Years Cal BP	138	6	6	0		5.9637	100
	This study	Khukh_Davaa	Z36	Z36.1a:Z36.2a:Z36.3a:Z36.4a:Z36.5a:Z36.6a:Z36.7a:Z36.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	3.7	LOW	356	Site direction included in results table	62.7	9.98E+02	9.98E+02	Years Cal BP	225	8	8	0		7.9689	0
	This study	Khukh_Davaa	Z36	Z36.1a:Z36.2a:Z36.3a:Z36.4a:Z36.5a:Z36.6a:Z36.7a:Z36.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	4.2	MAG	184.6	Site direction included in results table	-73.5	9.98E+02	9.98E+02	Years Cal BP	178	8	8	0		7.9607	0
	This study	Khukh_Davaa	Z36	Z36.1a:Z36.2a:Z36.3a:Z36.4a:Z36.5a:Z36.6a:Z36.7a:Z36.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	3.7	LOW	53.1	Site direction included in results table	38.6	9.98E+02	9.98E+02	Years Cal BP	225	8	8	0		7.9688	100
	This study	Khukh_Davaa	Z36	Z36.1a:Z36.2a:Z36.3a:Z36.4a:Z36.5a:Z36.6a:Z36.7a:Z36.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	4.2	MAG	247.5	Site direction included in results table	-39.3	9.98E+02	9.98E+02	Years Cal BP	177	8	8	0		7.9605	100
	This study	Khukh_Davaa	Z37	Z37.1a:Z37.2a:Z37.3a:Z37.4a:Z37.5a:Z37.6a:Z37.7a:Z37.8a:Z37.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	3	LOW	1.2	Site direction included in results table	62.5	9.98E+02	9.98E+02	Years Cal BP	303	9	9	0		8.9736	0
	This study	Khukh_Davaa	Z37	Z37.1a:Z37.2a:Z37.3a:Z37.4a:Z37.5a:Z37.6a:Z37.7a:Z37.8a:Z37.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	7.5	MAG	172.8	Site direction included in results table	-74.7	9.98E+02	9.98E+02	Years Cal BP	48	9	9	0		8.8347	0
	This study	Khukh_Davaa	Z37	Z37.1a:Z37.2a:Z37.3a:Z37.4a:Z37.5a:Z37.6a:Z37.7a:Z37.8a:Z37.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	3	LOW	54.1	Site direction included in results table	36.3	9.98E+02	9.98E+02	Years Cal BP	302	9	9	0		8.9735	100
